16	0.4299624034	0.4333308044	0.4367066793	0.4400897794	0.4434798545	0.4468766525	0.4502799197	0.4536894009	0.4571048395	0.4605259773	0.4639525547	0.4673843109	0.4708209837	0.47426231	0.4777080251	0.4811578638	0.4846115593
32	0.3976774201	0.4047791098	0.411920143	0.4191011589	0.426322764	0.4335854972	0.4408897968	0.4482359678	0.4556241507	0.463054292	0.4705261176	0.4780391085	0.4855924794	0.4931851615	0.5008157877	0.5084826826	0.5161838561
64	0.306972508	0.3201480047	0.3335849545	0.3472794664	0.361240403	0.375488273	0.3900521375	0.4049647687	0.4202566124	0.4359493723	0.4520501976	0.4685474448	0.4854087913	0.5025821016	0.5199989649	0.5375803248	0.5552432242
128	0.1823817399	0.2063781188	0.2320223171	0.258738174	0.2863346116	0.3149818345	0.3451214886	0.3773550629	0.4122182156	0.4498805733	0.489976479	0.5316889216	0.5739751981	0.6157279205	0.655850946	0.6934496233	0.7281829209
256	0.0718791159	0.0915386689	0.1181344965	0.1510120371	0.1961705706	0.2522568908	0.3114672923	0.3749646288	0.4419437163	0.5125568628	0.5898481592	0.6726778011	0.7544763643	0.8250858506	0.8817195792	0.9231540362	0.9500231495
																	
																	
																	
																	
																	
																	
16	0.4299624034	0.4333308044	0.4367066793	0.4400897794	0.4434798545												
32	0.4191011589	0.426322764	0.4335854972	0.4408897968	0.4482359678												
64	0.4049647687	0.4202566124	0.4359493723	0.4520501976	0.4685474448												
128	0.3773550629	0.4122182156	0.4498805733	0.489976479	0.5316889216												
256	0.3114672923	0.3749646288	0.4419437163	0.5125568628	0.5898481592												
